92154,83
92103,75
91911,74
92021,67
92020,66
91910,61
92105,56
91950,54
92113,54
92114,54
91977,48
92019,47
92104,42
92101,40
92116,39
92115,38
91913,37
92126,37
92173,36
92128,35
92037,34
92139,32
91942,31
92024,30
92109,29
92108,26
91915,24
92027,24
92102,24
92117,24
92130,24
92025,23
92111,23
92110,22
92127,22
92120,21
92064,19
92071,19
92129,19
92009,18
92123,18
91902,17
91945,17
92078,17
92122,16
92014,15
92040,15
92084,15
92124,15
91941,14
92010,13
92056,13
92081,13
92029,12
92057,12
92067,12
92069,12
92119,12
91914,11
91932,11
92026,11
92054,11
92065,11
92140,11
92011,10
92083,10
92008,9
92028,9
92058,9
92106,9
92131,9
91935,6
91978,6
92118,6
92075,5
92107,5
92007,4
92082,4
92093,4
92121,3
92136,3
92061,2
92066,2
92091,2
92161,2
91901,1
91905,1
91916,1
91963,1
92003,1
92004,1
